uid,formula,E_true_Npm,E_pred_Npm,nn_dist_z,seeds
1LiC12-1,LiC12,681.286381606589,671.1995239257812,1.0080521433328862,"6, 68, 6898, 13579, 681998"
1NaC12-1,NaC12,676.3430987646735,674.71875,1.1046735837096369,"6, 68, 6898, 13579, 681998"
1O2C3Ta4-1,Ta4C3O2,560.9634559793564,532.5217895507812,1.2272340852122725,"6, 68, 6898, 13579, 681998"
1O2C3Nb4-1,Nb4C3O2,539.1920964392051,536.7689819335938,1.1166614335214935,"6, 68, 6898, 681998"
1H2N2O2W3-1,W3H2N2O2,511.4925042098795,441.2929992675781,1.246464851637167,6898
1O2C3V4-1,V4C3O2,508.7412807077298,514.7420654296875,1.096885918493097,"6, 681998"
1S2C3Ta4-1,Ta4C3S2,500.63281718118566,492.7843933105469,1.039582910892913,"6, 68, 6898, 13579, 681998"
1O2C3Hf4-1,Hf4C3O2,489.86699554613904,482.1639099121094,1.013676072891731,"6, 68, 6898, 13579, 681998"
1S2C3Nb4-1,Nb4C3S2,476.7356893133788,467.998779296875,1.1572070246139363,"6, 68, 6898, 13579, 681998"
1O2C3Ti4-1,Ti4C3O2,467.8736021223192,448.66412353515625,0.9265396415136556,"6, 68, 6898, 13579, 681998"
1O2C3Zr4-1,Zr4C3O2,451.5724481820614,456.8336486816406,1.0101321817904978,"68, 13579, 681998"
1S2C3V4-1,V4C3S2,448.0605795789325,447.87103271484375,1.1147575506259757,"13579, 681998"
1H2O2C3Nb4-1,Nb4C3H2O2,440.446617479377,428.3651123046875,1.4500410157798815,"13579, 681998"
1H2O2C3Ta4-1,Ta4C3H2O2,439.5239987008175,435.3651123046875,1.169163944490797,"6, 6898, 13579, 681998"
1H2O2C3V4-1,V4C3H2O2,439.2299534955828,424.1409912109375,1.1387284928354136,"6, 6898, 681998"
